topic_id,topic_name,subfield_name,field_name,domain_name
https://openalex.org/T10346,Magnetic confinement fusion research,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T12157,Geochemistry and Geologic Mapping,Artificial Intelligence,Computer Science,Physical Sciences
https://openalex.org/T10451,Mycorrhizal Fungi and Plant Interactions,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T13370,Diverse Scientific and Economic Studies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T14423,Military Technology and Strategies,Aerospace Engineering,Engineering,Physical Sciences
https://openalex.org/T10978,Prenatal Screening and Diagnostics,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences
https://openalex.org/T13497,Hermeneutics and Narrative Identity,Philosophy,Arts and Humanities,Social Sciences
https://openalex.org/T11367,Particle accelerators and beam dynamics,Aerospace Engineering,Engineering,Physical Sciences
https://openalex.org/T12859,Cell Image Analysis Techniques,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T12692,Magnetic Field Sensors Techniques,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10781,Plasma Diagnostics and Applications,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10895,Species Distribution and Climate Change,Ecological Modeling,Environmental Science,Physical Sciences
https://openalex.org/T12760,Laser Design and Applications,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T11881,Crystallization and Solubility Studies,Materials Chemistry,Materials Science,Physical Sciences
https://openalex.org/T10384,Laser-Plasma Interactions and Diagnostics,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T11475,French Urban and Social Studies,Sociology and Political Science,Social Sciences,Social Sciences
https://openalex.org/T11803,Superconducting and THz Device Technology,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T11893,German Literature and Culture Studies,Literature and Literary Theory,Arts and Humanities,Social Sciences
https://openalex.org/T11044,Particle Detector Development and Performance,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10733,Wheat and Barley Genetics and Pathology,Plant Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T11175,Gyrotron and Vacuum Electronics Research,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences
https://openalex.org/T10165,Classical Antiquity Studies,Anthropology,Social Sciences,Social Sciences
https://openalex.org/T12837,American Environmental and Regional History,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences
https://openalex.org/T13445,American Constitutional Law and Politics,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/T10591,Theoretical and Computational Physics,Condensed Matter Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T11926,Subterranean biodiversity and taxonomy,Paleontology,Earth and Planetary Sciences,Physical Sciences
https://openalex.org/T10251,Solar and Space Plasma Dynamics,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10015,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T10941,Musicology and Musical Analysis,Music,Arts and Humanities,Social Sciences
https://openalex.org/T10744,Astrophysical Phenomena and Observations,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T14380,Libraries and Information Services,Museology,Arts and Humanities,Social Sciences
https://openalex.org/T13958,"Education, Innovation and Language Studies",Education,Social Sciences,Social Sciences
