Year,Count
0001,12
1000,4
1001,71
1015,1
1019,1
1037,1
1038,3
1039,4
1193,1
1234,1
1398,1
1476,5
1480,1
1599,1
1600,2
1610,1
1611,1
1614,2
1621,1
1627,1
1634,1
1638,1
1639,1
1640,1
1653,2
1654,1
1663,1
1664,1
1666,2
1667,3
1668,1
1669,1
1670,1
1671,1
1672,2
1673,1
1674,1
1675,1
1676,1
1677,1
1678,1
1683,1
1687,1
1702,1
1708,1
1716,1
1749,2
1750,1
1751,1
1752,1
1753,3
1754,1
1755,1
1756,1
1757,1
1758,7
1759,1
1762,1
1763,1
1766,1
1767,1
1768,1
1769,2
1770,8
1772,1
1773,2
1775,1
1777,2
1778,4
1779,2
1780,1
1783,1
1784,3
1785,1
1786,1
1789,1
1791,1
1794,2
1795,2
1796,1
1797,2
1798,3
1800,2
1802,1
1803,6
1804,2
1806,1
1807,1
1808,2
1809,2
1810,2
1811,6
1812,4
1813,1
1814,1
1815,3
1816,1
1817,1
1818,1
1819,1
1820,1
1822,2
1823,4
1824,5
1825,3
1826,1
1827,6
1828,4
1829,5
1830,813
1831,6
1832,6
1833,7
1834,15
1835,53
1836,11
1837,16
1838,18
1839,29
1840,106
1841,78
1842,9
1843,8
1844,42
1845,12
1846,16
1847,12
1848,4
1849,14
1850,20
1851,19
1852,13
1853,15
1854,25
1855,18
1856,16
1857,27
1858,35
1859,32
1860,13
1861,12
1862,10
1863,26
1864,13
1865,11
1866,29
1867,14
1868,15
1869,10
1870,12
1871,12
1872,11
1873,31
1874,44
1875,6
1876,21
1877,25
1878,9
1879,16
1880,69
1881,72
1882,68
1883,20
1884,20
1885,19
1886,41
1887,19
1888,61
1889,61
1890,30
1891,13
1892,39
1893,44
1894,48
1895,26
1896,21
1897,20
1898,13
1899,21
1900,772
1901,26
1902,60
1903,81
1904,432
1905,293
1906,516
1907,221
1908,421
1909,230
1910,280
1911,122
1912,560
1913,140
1914,6823
1915,8938
1916,7532
1917,63
1918,6398
1919,25
1920,168
1921,226
1922,327
1923,205
1924,126
1925,192
1926,99
1927,96
1928,189
1929,147
1930,355
1931,91
1932,541
1933,582
1934,1027
1935,1554
1936,983
1937,11476
1938,33880
1939,1350
1940,53
1941,29
1942,45
1943,24
1944,15
1945,24
1946,121
1947,99
1948,88
1949,53
1950,95
1951,94
1952,100
1953,346
1954,305
1955,180
1956,108
1957,117
1958,163
1959,135
1960,218
1961,167
1962,242
1963,238
1964,6412
1965,7124
1966,463
1967,1191
1968,756
1969,796
1970,6641
1971,1442
1972,915
1973,1388
1974,651
1975,1662
1976,812
1977,2717
1978,5274
1979,4728
1980,3813
1981,4261
1982,3708
1983,4651
1984,7846
1985,5050
1986,4898
1987,6506
1988,4569
1989,5058
1990,5879
1991,6208
1992,5937
1993,4123
1994,5837
1995,6398
1996,9797
1997,9850
1998,10171
1999,20605
2000,26387
2001,32592
2002,41368
2003,65149
2004,62228
2005,133633
2006,123757
2007,128331
2008,94891
2009,104204
2010,104092
2011,138461
2012,339956
2013,218705
2014,577335
2015,1083725
2016,518062
2017,907716
2018,1156156
2019,1118023
2020,1652152
2021,7524797
2022,3175931
2023,19863260
2024,3776342
2025,5659581
2026,3718
2027,2494
2028,1975
2029,64
2030,138
2031,9
2032,16
2033,6
2034,20
2035,38
2036,8
2037,2
2038,2
2039,2
2041,2
2042,3
2046,10
2050,29
2059,2
2069,1
2073,1
2085,1
2090,3
2094,1
2099,4
2100,9
2103,1
2104,1
2105,1
2124,1
2125,4
2130,2
2202,2
2204,2
2253,2
2254,1
2255,1
2256,1
2258,1
2259,2
2489,2
2502,1
2506,1
2508,3
2510,4
2511,6
2512,4
2513,5
2514,10
2515,12
2516,5
2517,5
2518,8
2519,12
2520,10
2521,11
2522,14
2523,21
2524,12
2525,36
2526,41
2527,47
2528,69
2529,152
2530,276
2531,303
2532,491
2533,241
2534,855
2535,1399
2536,1462
2537,1302
2538,309
2539,1518
2540,1613
2541,1534
2542,2766
2543,2038
2544,2514
2545,5300
2546,7162
2547,7621
2548,8015
2549,10132
2550,9714
2551,10516
2552,10521
2553,8253
2554,7218
2555,4974
2556,4977
2557,5402
2558,6944
2559,6613
2560,5988
2561,4677
2562,3328
2563,1660
2564,1118
2565,1671
2566,1193
2567,684
2568,21
2924,4
2925,3
2938,1
2999,2
3000,3
3020,1
3023,1
4938,1
7938,1
9193,1
9999,1103
