Year,Count
1950,97
1951,96
1952,103
1953,349
1954,309
1955,183
1956,110
1957,118
1958,167
1959,138
1960,219
1961,169
1962,243
1963,240
1964,6417
1965,7126
1966,467
1967,1196
1968,753
1969,798
1970,6644
1971,1449
1972,920
1973,1391
1974,651
1975,1666
1976,814
1977,2719
1978,5262
1979,4719
1980,3797
1981,4252
1982,3703
1983,4655
1984,7877
1985,5187
1986,4906
1987,6533
1988,4598
1989,5108
1990,5911
1991,6251
1992,6002
1993,4158
1994,5874
1995,6498
1996,9898
1997,10167
1998,10494
1999,20953
2000,26700
2001,32882
2002,42033
2003,66671
2004,64229
2005,136130
2006,126540
2007,130842
2008,96493
2009,100067
2010,102922
2011,134658
2012,345412
2013,219073
2014,586621
2015,1111495
2016,574063
2017,964020
2018,1182536
2019,1108063
2020,1656592
2021,3553801
2022,2190322
2023,2583690
2024,12656665
2025,19082582
2026,3710
